x,y,yaw,w
6.74874,2.88829,-2.2833,0.0001
-7.19307,-5.342,-1.58813,0.0001
7.94888,6.66236,2.67548,0.0001
-8.02093,1.10156,0.213311,0.0001
5.21462,-19.619,-0.0477741,0.0001
6.91604,-13.6063,-1.39434,0.0001
6.06849,-8.04189,1.64414,0.0001
9.45249,-19.1022,3.05749,0.0001
-11.3407,5.23745,0.990815,0.0001
8.63292,2.18095,1.85938,0.0001
-10.806,5.11838,1.88826,0.0001
7.99875,-18.7051,1.88515,0.0001
-1.86567,-18.43,-2.30001,0.0001
-0.771175,-1.83191,-0.937997,0.0001
-13.3115,-14.1229,-3.08042,0.0001
-7.28046,-16.4087,-0.35317,0.0001
-5.21612,-0.61322,3.10176,0.0001
2.07496,3.8689,2.99361,0.0001
-9.31001,-2.96536,-1.1427,0.0001
2.14729,-17.5338,2.25457,0.0001
3.14746,-4.24269,-3.07917,0.0001
9.8546,-9.10436,-3.017,0.0001
-12.1127,0.668727,-1.49055,0.0001
-11.592,-5.55541,2.07384,0.0001
3.53412,-4.70239,1.10515,0.0001
4.5664,4.05548,-2.95867,0.0001
-4.64291,-14.3157,1.44161,0.0001
-1.99139,-7.62104,1.22167,0.0001
6.42975,-14.0099,-3.08622,0.0001
-5.0037,-12.1861,0.835418,0.0001
-11.7977,-13.1208,2.42715,0.0001
-5.84456,-15.8888,-0.138474,0.0001
-3.39329,3.42562,-1.80122,0.0001
5.70644,-14.7896,-0.491449,0.0001
2.76918,-3.19016,-1.87323,0.0001
-1.83355,1.49052,0.329795,0.0001
3.09281,-2.90137,2.13275,0.0001
2.66221,3.1404,1.9783,0.0001
6.16636,-12.6774,1.06158,0.0001
7.87572,4.30181,-2.22283,0.0001
0.306536,-2.36228,1.43704,0.0001
-10.3792,4.52956,0.951522,0.0001
3.89715,-1.8027,2.33302,0.0001
0.980949,6.73074,3.11491,0.0001
9.79786,-15.8671,2.60402,0.0001
-9.31537,-1.72894,2.42183,0.0001
9.68042,-0.494686,-2.42185,0.0001
2.29231,-6.79737,0.0119394,0.0001
-3.23194,5.19472,-2.95443,0.0001
-6.00282,-19.107,-2.14218,0.0001
-2.20615,-17.7987,-1.5434,0.0001
0.0842376,3.68754,-0.762273,0.0001
8.12094,-16.4284,-0.572635,0.0001
-10.5648,-12.4678,-1.41058,0.0001
4.31215,-15.5001,1.9116,0.0001
-6.8186,-15.8203,0.332105,0.0001
11.3317,-7.58818,-2.66067,0.0001
0.247626,1.89649,1.0236,0.0001
-9.37558,-16.2538,-1.62625,0.0001
-8.95201,-16.3078,1.91821,0.0001
3.08013,-18.5858,1.10142,0.0001
-8.73942,-3.08133,-2.31036,0.0001
3.80096,-2.81887,-0.446005,0.0001
-8.63489,-0.379756,0.895563,0.0001
0.909006,-15.0625,-1.38191,0.0001
-12.7561,-4.42475,-0.076812,0.0001
-8.6491,-18.3043,-2.00352,0.0001
3.6684,2.87576,-2.35938,0.0001
-2.10295,0.328343,0.490689,0.0001
-0.434688,-7.0958,0.802711,0.0001
1.67754,-7.45885,1.59923,0.0001
5.3352,-9.50344,-2.99592,0.0001
-13.8203,-12.2937,2.03997,0.0001
2.21716,4.80925,-0.0943375,0.0001
-1.89825,-7.51851,-0.146782,0.0001
-6.60932,-17.5698,-1.54917,0.0001
2.67344,-14.2192,0.124499,0.0001
8.60094,-9.19864,1.21059,0.0001
-6.00413,4.18526,0.972386,0.0001
-8.35671,0.00213384,-1.9969,0.0001
-1.95215,-6.82068,-1.68583,0.0001
-2.4281,6.81648,-2.22419,0.0001
9.81443,-3.004,-0.987641,0.0001
3.83542,-8.33865,1.75976,0.0001
6.10588,-5.767,-1.73372,0.0001
6.9164,-1.12993,-0.705251,0.0001
11.3125,-14.121,-1.92605,0.0001
2.14293,-13.6914,-1.30011,0.0001
5.92042,-17.3946,-0.775304,0.0001
9.69129,-1.33814,0.238292,0.0001
-6.99666,3.90933,-1.69046,0.0001
7.27379,3.99217,1.92375,0.0001
-1.52058,-8.28223,-1.62294,0.0001
6.53275,-16.4538,-2.71829,0.0001
-0.74619,-6.98121,-0.124827,0.0001
6.34664,5.24787,1.01318,0.0001
8.66183,-5.27405,-1.39222,0.0001
-7.28495,-3.17096,1.02628,0.0001
4.07033,5.93221,-0.908238,0.0001
-2.14437,-18.2076,0.229869,0.0001
-2.9459,-9.9816,-0.786156,0.0001
