x,y,yaw,w
1.76379,-6.90644,0.179576,0.0001
-5.86921,-1.57234,1.65488,0.0001
2.97122,-3.9592,2.12812,0.0001
-2.5544,-6.75543,0.170295,0.0001
-8.92385,-9.9353,1.38631,0.0001
-4.99341,-5.83333,-1.02945,0.0001
6.59676,0.928262,-2.16922,0.0001
-7.63423,-4.43404,-0.191782,0.0001
-2.13938,-0.210618,-1.05924,0.0001
-2.47162,-6.46515,-2.43401,0.0001
-4.91891,0.0279709,-1.75578,0.0001
6.02893,-0.851789,-1.50665,0.0001
-6.14879,-6.6989,-2.37839,0.0001
0.275975,-3.60156,0.0181391,0.0001
-3.1919,-7.95755,-1.61094,0.0001
11.4074,-10.4309,0.918251,0.0001
1.00028,-4.62749,-2.67137,0.0001
-3.4064,-7.40637,-0.559043,0.0001
-10.7198,-1.18951,-1.486,0.0001
-12.8037,-9.1397,-0.696058,0.0001
3.90341,-6.46822,-0.610625,0.0001
-4.8035,-8.48149,1.83609,0.0001
-6.1031,-3.13224,0.360524,0.0001
-7.47186,-3.80888,2.49484,0.0001
1.39674,-7.74337,-1.86506,0.0001
3.16386,-3.54036,-1.31172,0.0001
11.2506,-7.36758,0.286809,0.0001
7.71692,-1.56144,0.776262,0.0001
-7.89972,-6.55946,-1.29558,0.0001
10.2658,-10.6253,1.89866,0.0001
-5.05551,-8.72333,-0.627558,0.0001
3.60397,-0.496438,-2.56691,0.0001
1.64156,-3.09198,-0.349118,0.0001
-1.153,-7.85108,1.43733,0.0001
4.7557,-10.3918,-0.879067,0.0001
-3.69096,1.74319,2.03405,0.0001
-7.96509,-8.77792,-1.20697,0.0001
5.83501,-6.90899,-1.72794,0.0001
-13.6802,-0.314204,-0.524774,0.0001
9.78536,-2.76555,-0.996849,0.0001
7.07388,0.961809,-1.57853,0.0001
-0.00515823,2.09562,1.33513,0.0001
3.37258,-2.70435,2.88403,0.0001
-0.981651,-7.87852,-1.05107,0.0001
9.95885,-9.02449,0.762447,0.0001
10.8648,-7.38005,2.47241,0.0001
8.65485,-5.22137,3.01517,0.0001
-12.5094,-8.31415,-1.35536,0.0001
7.12592,-2.95864,-1.89469,0.0001
-13.2237,-4.23734,1.68175,0.0001
3.31656,-1.11337,-1.83362,0.0001
0.0516725,-0.0605601,0.682525,0.0001
-10.3962,-3.72397,1.796,0.0001
-12.4579,-0.256779,1.39517,0.0001
10.6226,-6.31221,1.44428,0.0001
-13.2621,-4.25112,-0.0323177,0.0001
6.89258,-6.27706,0.514918,0.0001
2.40527,-8.01432,-1.21224,0.0001
6.64147,-0.91336,-0.497307,0.0001
10.5719,-4.61565,-0.593972,0.0001
-6.46551,-1.00442,2.25311,0.0001
1.46583,-9.31842,-2.87855,0.0001
-0.969797,-5.71418,1.3193,0.0001
5.45472,-0.158824,-1.14672,0.0001
1.43662,-8.00377,-0.553247,0.0001
0.283818,-4.50752,-0.807447,0.0001
-13.3382,-6.06909,0.88325,0.0001
10.7522,-4.26878,2.14119,0.0001
2.74813,-8.20465,-1.19745,0.0001
8.36976,-3.40462,-2.17867,0.0001
9.10744,-6.63984,1.14435,0.0001
8.68162,-2.87317,-2.03312,0.0001
-2.16258,0.447246,-2.4035,0.0001
-6.72864,-2.53272,0.78989,0.0001
7.38471,0.76571,-0.386075,0.0001
10.0934,-5.07066,-0.735775,0.0001
7.93069,-3.81879,1.68172,0.0001
10.4162,-6.03075,0.972254,0.0001
7.44572,-7.37713,0.235013,0.0001
10.2671,-2.76191,1.2058,0.0001
-10.6607,-5.99968,-2.13795,0.0001
0.554198,1.41381,-2.96641,0.0001
2.45114,-10.1742,-1.34542,0.0001
10.171,-10.3154,1.31831,0.0001
-11.085,-5.88112,-2.2814,0.0001
9.27178,-9.34445,-0.570626,0.0001
-3.43316,-4.74361,1.93728,0.0001
9.59546,-4.44544,-1.52323,0.0001
-12.1058,-9.04829,1.88204,0.0001
-7.47281,2.70356,-1.25815,0.0001
-7.20216,-5.31682,-2.37933,0.0001
4.04279,-1.26953,1.38056,0.0001
6.52152,-10.728,-1.41816,0.0001
-2.08985,0.98892,0.954358,0.0001
2.19448,-7.18539,0.785078,0.0001
-13.5303,-5.48773,1.96685,0.0001
-10.9815,1.69001,-2.34466,0.0001
-12.3669,-4.53632,-0.547238,0.0001
-11.6831,-6.34977,-1.96167,0.0001
7.19735,-8.28547,0.628647,0.0001
7.5044,-7.14443,2.64553,0.0001
-12.8079,-7.50373,0.671035,0.0001
2.04917,-9.8733,0.07589,0.0001
-9.641,0.110275,2.87316,0.0001
-4.72132,-6.73415,2.59255,0.0001
-6.98677,-3.6261,0.281813,0.0001
5.41687,0.959929,-2.3892,0.0001
9.70598,-3.30019,-1.38597,0.0001
-0.741851,-10.2473,-1.95445,0.0001
-10.5467,0.98678,-1.84058,0.0001
6.60304,-0.823624,-2.86272,0.0001
8.55959,-6.70522,-1.40084,0.0001
